MJFF_IDS,MRC_PATIENT_DATA_IDS,MRC_CONTROL_DATA_IDS,REFERENCE_TEXT
55,2,1,"However, religions other than Islam, use a different pronunciation for Allah, although the spelling is the same"
56,4,2,"He is buried in Egypt, Aswan at the Mausoleum of Aga Khan"
57,1,5,"Books include Penguin Island, a satire on the Dreyfus affair"
58,5,3,"The w-shaped glyph above the second consonant that it geminates, is in fact the beginning of a small letter"
59,3,4,The Franks alliance was important exactly because of their renown hostility towards the Byzantine
60,10,6,"As of 2004, nearly 50% of Americans who were enrolled in employer health insurance plans were covered for acupuncture treatments"
61,9,7,"Lincoln's coffin would be encased in concrete several feet thick, and surrounded by a cage, and buried beneath a rock slab"
62,7,8,"Generally considered a part of Central Asia, it is sometimes ascribed to a regional bloc in either the Middle East or South Asia"
63,8,9,"Although early behavioural or cognitive intervention can help children gain self-care, social, and communication skills, their is no known cure"
64,14,10,The Korean men have not fared so well in Olympic competition but still produce good results
65,6,11,The novel explores the relationship between Patroclus and Achilles from boyhood to the fateful events of the Iliad
66,15,12,"Split-finger aiming requires the archer to place the index finger above the nocked arrow, while the middle and ring fingers are both placed below"
67,12,13,They fought a thirty years war on the side of the Lamtuna Arabized Berbers who claimed Himyarite ancestry from the early Islamic invasions
68,11,14,"However, there is no evidence that those tattoos were used as acupuncture points or if they were just decorative in nature"
69,13,15,"Over three million cattle are residents of the province at one time or another, and Alberta beef has a healthy worldwide market"

